NFL Betting Picks 2025-2026,,,,,,,,,,,,,,,,,
,HOME TEAM FIRST,,PICKS,,,,,,,,,,,,,,
,,,Keanan Total,$45,60,Scuba Total,$230,62,Luke Total,$17,63,Andrew Total,-$375,56,Matt Total,$140,54
Week,Game,Game Results,Keanan,K$$,,Scuba,S$$,,Luke,L$$,,Andrew,A$$,,Matt,M$$,
Week 1 AM,Eagles (-8.5) - Cowboys O/U 47.5,Eagles 24 - Cowboys 20 (44),Cowboys (+8.5),$20,O20,Eagles -8.5,$20,U20,Cowboys +8.5,$10,,Cowboys +8.5,$10,,No Pick,$10,
Week 1 PM,Chargers - Chiefs (-3.5) O/U 46.5,Chargers 27 - Chiefs 21 (48),Chargers (+3.5),$20,U20,Chiefs -3.5,$20,,Chargers +3.5,$10,U10,Chargers +3.5,$10,,Chargers +3.5,$10,O10
Week 1 SNF,Bills - Ravens (-1.5) O/U 50.5,Bills 41 - Ravens 40 (81),Bills (+1.5),$15,O15,Bills +1.5,$20,O20,Ravens -1.5,$10,,Bills +1.5,$10,U10,Bills +1.5,$30,
Week 1 MNF,Bears - Vikings (-1.5) O/U 43.5,Bears 24 - Vikings 27 (51),Bears (+1.5),$15,,Vikings -1.5,$20,O20,Vikings 1.5,$20,U20,Vikings -1.5,$10,,Bears +1.5,$30,
High Spread,Broncos (-8.5) - Titans O/U 42.5,Broncos 20 - Titans 12 (32),Broncos (-8.5),$20,O20,Broncos -8.5,$20,,Titans +8.5,$10,U10,Broncos -8.5,$10,,Broncos  -8.5,$10,
Wild Card,Wild Card Pick,Browns 16 - Bengals 17 (33) / Colts 33 - Dolphins 8 (41) / Patriots 13 - Raiders 20 (33) / Packers 27 - Lions 13 (40) / Seahawks 13 - 49ers 17 (30) ,Bengals (-5.5) 47.5,$30,O30,Lions +2.5,$20,,Dolphins +1.5 (47.5),$60,O60,Seahawks +2.5,$70,,Raiders +2.5,$30,
Week 1 Total,Game,Game Results,,-$85,,,$40,,,-$100,,,-$50,,,$30,
Week 2 AM,Lions (-6.5) - Bears O/U 46.5,Lions 52 - Bears 21 (73),Lions (-6.5),$20,,Bears +6.5,$20,,Bears +6.5,$10,,Bears +6.5,$10,U10,Lions -6.5,$30,
Week 2 PM,Chiefs - Eagles (-1.5) O/U 46.5,Chiefs 17 - Eagles 20 (37),Chiefs (+1.5),$10,U10,Eagles -1.5,$20,,Eagles -1.5,$70,,Eagles -1.5,$10,,Chiefs +1.5,$20,
Week 2 SNF,Vikings (-3.5) - Falcons O/U 44.5,Vikings 6 - Falcons 22 (28),Falcons (+3.5),$25,,Falcons +3.5,$20,O20,Falcons +3.5,$10,,Vikings -3.5,$10,,Vikings -3.5,$20,
Week 2 MNF,Raiders - Chargers (-3.5) O/U 45.5,Raiders 9 - Chargers 20 (29),Chargers (-3.5),$40,,Raiders +3.5,$20,,Raiders +3.5,$10,,Raiders +3.5,$10,,Raiders +3.5,$20,
High Spread,Ravens (-11.5) - Browns O/U 44.5,Ravens 41 - Browns 17 (58),Ravens (-11.5),$15,O15,Browns +11.5,$20,O20,Browns +11.5,$10,O10,Browns +11.5,$10,,Browns +11.5,$10,U10
Wild Card,Wild Card Pick,Titans 19 - Rams 33 (52) / Dolphins 27 - Patriots 33 (60) / Bengals 31 - Jaguars 27 (58) / Saints 21 - 49ers 26 (47),Titans (+5.5) 40.5,$10,O10,Patriots +1.5,$20,,Bengals -3.5,$10,,Saints +3.5 ,$70,,Bengals -3.5 (49.5),$20,O20
Week 2 Total,Game,Game Results,,$115,,,$0,,,$70,,,-$110,,,-$10,
Week 3 AM,Eagles (-3.5) - Rams O/U 44.5,Eagles 33 - Rams 26 (59),Eagles (-3.5),$25,,Eagles -3.5,$10,U10,Rams +3.5,$10,U10,Rams +3.5,$10,,Eagles -3.5,$20,
Week 3 PM,Chargers (-2.5) - Broncos O/U 45.5,Chargers 23 - Broncos 20 (43),Chargers (-2.5),$20,O20,Chargers -2.5,$20,,Chargers -2.5,$10,U10,Chargers -2.5,$10,,Chargers -2.5,$30,
Week 3 SNF,Giants - Chiefs (-6.5) O/U 45.5,Giants 9 - Chiefs 22 (31),Giants (+6.5),$15,,Chiefs -6.5,$20,O20,Chiefs -6.5,$10,U10,Giants +6.5,$10,,Giants +6.5,$20,U20
Week 3 MNF,Ravens (-4.5) - Lions O/U 53.5,Ravens 30 - Lions 38 (68),Lions (+4.5),$20,O20,Ravens,$20,O20,Ravens -4.5,$10,U10,Ravens -4.5,$10,,Lions +4.5,$20,
High Spread,Bills (-11.5) - Dolphins O/U 50.5,Bills 31 - Dolphins 21 (52),Bills (-11.5),$15,O15,Bills -11.5,$20,O20,Bills -11.5,$10,,Bills -11.5,$10,,Bills -11.5,$10,O10
Wild Card,Wild Card Pick,Browns 13 - Packers 10 (23) / 49ers 16 - Cardinals 15 (31) / Commanders 41 - Raiders 24 (65),Packers (-7.5) 41.5,$25,,Cardinals +1.5,$30,,Packers -7.5,$70,,Cards +2.5,$70,,Raiders +2.5,$20,
Week 3 Total,Game,Game Results,,$25,,,$50,,,-$80,,,$40,,,$50,
Week 4 AM,Texans (-7.5) - Titans O/U 38.5,Texans 26 - Titans 0 (26),Titans (+7.5),$10,U10,Titans +7.5,$20,,Texans -7.5,$10,,Titans +7.5,$10,,Titans +7.5,$20,U20
Week 4 PM,Rams (-3.5) - Colts O/U 49.5,Rams 27 - Colts 20 (47),Colts (+3.5),$15,,Rams -3.5,$20,O20,Rams -3.5,$70,,Rams -3.5,$10,U10,Rams +3.5,$20,
Week 4 SNF,Cowboys - Packers (-6.5) O/U 47.5,Cowboys 40 - Packers 40 (80),Packers (-6.5),$40,,Packers -6.5,$30,O30,Packers -6.5,$10,,Packers -6.5,$10,,Packers -6.5,$30,
Week 4 DUBLIN,Steelers - Vikings (-2.5) O/U 40.5,Steelers 24 - Vikings 21 (45),No Pick,$10,,No Pick,$10,,Steelers +2.5,$10,,Vikings -2.5,$10,,Steelers +2.5,$20,U20
High Spread,Bills (-15.5) - Saints O/U 47.5,Bills 31 - Saints 19 (50),Bills (+15.5),$15,,Saints +15.5,$20,,Bills -15.5,$10,,Bills -15.5,$10,,Bills -15.5,$10,U10
Wild Card,Wild Card Pick,Chiefs 37 - Ravens 20 (57) / Bucs 25 - Eagles 31 (56) / 49ers 21 - Jaguars 26 (47) / Raiders 24 - Bears 25 (49) / Dolphins 27 - Jets 21 (48),Ravens (+2.5) 49.5,$30,O30,Jets +2.5,$20,,Eagles -3.5,$10,,Jags +3.5,$70,,Bears +1.5,$20,
Week 4 Total,Game,Game Results,,-$80,,,-$30,,,$80,,,$50,,,-$10,
Week 5 AM,Colts (-6.5) - Raiders O/U 48.5,Colts 40 - Raiders 6 (46),Colts (-6.5),$25,,No Pick,$10,,Colts -6.5,$35,,Raiders +6.5,$10,,Raiders +6.5,$20,
